Voltaje_Cen_0,Voltaje_Ext_0
1.42,1.68
1.48,2.2
1.48,1.96
1.52,1.88
1.52,1.84
1.5,1.84
1.52,1.8
1.52,1.8
1.5,1.8
1.52,1.8
1.52,1.76
1.52,1.76
1.5,1.76
1.5,1.76
1.52,1.72
1.52,1.72
1.48,1.72
1.5,1.76
1.48,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.48,1.68
1.5,1.72
1.48,1.72
1.4,1.72
1.46,2.28
1.48,2.0
1.48,1.88
1.5,1.88
1.5,1.84
1.52,1.84
1.52,1.8
1.5,1.8
1.5,1.76
1.52,1.76
1.52,1.76
1.52,1.76
1.5,1.72
1.52,1.76
1.5,1.76
1.5,1.72
1.5,1.76
1.48,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.72
1.5,1.68
1.38,1.72
1.46,2.48
1.48,2.0
1.5,1.88
1.48,1.88
1.52,1.84
1.52,1.8
1.5,1.84
1.52,1.8
1.52,1.76
1.5,1.76
1.5,1.76
1.52,1.76
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.48,1.72
1.5,1.72
1.52,1.72
1.5,1.72
1.5,1.72
1.38,1.68
1.46,3.12
1.5,2.0
1.5,1.92
1.52,1.88
1.5,1.84
1.5,1.8
1.5,1.8
1.5,1.8
1.52,1.76
1.52,1.76
1.52,1.76
1.5,1.76
1.52,1.76
1.52,1.76
1.5,1.76
1.52,1.76
1.5,1.76
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.32,1.72
1.44,1.68
1.5,2.04
1.5,1.92
1.52,1.88
1.5,1.84
1.5,1.84
1.52,1.8
1.52,1.8
1.5,1.8
1.52,1.76
1.5,1.76
1.52,1.76
1.52,1.76
1.5,1.72
1.5,1.76
1.52,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.68
1.28,1.72
1.44,1.68
1.48,2.04
1.48,1.92
1.5,1.88
1.5,1.88
1.5,1.8
1.5,1.8
1.5,1.8
1.5,1.8
1.5,1.76
1.52,1.8
1.5,1.76
1.5,1.76
1.48,1.76
1.5,1.72
1.48,1.72
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.52,1.72
1.5,1.72
1.5,1.68
1.2,1.72
1.44,1.68
1.48,2.12
1.48,1.92
1.5,1.88
1.5,1.84
1.5,1.84
1.52,1.84
1.52,1.8
1.5,1.8
1.5,1.76
1.52,1.76
1.5,1.76
1.52,1.76
1.52,1.72
1.48,1.76
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.52,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.48,1.68
1.46,1.68
1.48,1.72
1.48,2.12
1.5,1.96
1.5,1.92
1.5,1.88
1.52,1.84
1.52,1.84
1.52,1.8
1.52,1.8
1.52,1.8
1.52,1.76
1.5,1.76
1.5,1.72
1.5,1.76
1.52,1.76
1.48,1.72
1.52,1.72
1.48,1.72
1.48,1.76
1.48,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.42,1.68
1.46,1.72
1.5,2.16
1.5,1.96
1.5,1.88
1.5,1.88
1.5,1.84
1.52,1.84
1.5,1.8
1.5,1.8
1.52,1.8
1.5,1.8
1.5,1.76
1.5,1.76
1.48,1.72
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.48,1.72
1.42,1.72
1.48,1.68
1.5,2.2
1.5,1.96
1.5,1.92
1.5,1.84
1.5,1.84
1.52,1.84
1.5,1.84
1.5,1.76
1.48,1.8
1.5,1.76
1.5,1.76
1.5,1.8
1.52,1.72
1.52,1.76
1.5,1.76
1.5,1.76
1.48,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.68
1.42,1.68
1.48,1.72
1.48,2.28
1.48,1.96
1.5,1.92
1.5,1.88
1.5,1.84
1.52,1.8
1.52,1.8
1.5,1.8
1.52,1.76
1.54,1.8
1.52,1.76
1.48,1.76
1.52,1.76
1.5,1.76
1.48,1.76
1.5,1.72
1.5,1.72
1.52,1.72
1.5,1.72
1.5,1.72
1.5,1.68
1.5,1.72
1.48,1.72
1.38,1.72
1.46,1.72
1.5,2.4
1.48,2.0
1.5,1.92
1.48,1.88
1.52,1.84
1.5,1.8
1.5,1.8
1.48,1.8
1.52,1.76
1.5,1.76
1.5,1.76
1.52,1.8
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.38,1.68
1.46,1.72
1.48,2.76
1.5,2.0
1.52,1.92
1.5,1.84
1.52,1.84
1.52,1.84
1.5,1.8
1.48,1.8
1.52,1.8
1.5,1.76
1.5,1.8
1.5,1.76
1.52,1.76
1.52,1.72
1.5,1.72
1.5,1.72
1.52,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.52,1.68
1.5,1.72
1.48,1.72
1.36,1.68
1.44,1.68
1.48,1.72
1.5,2.0
1.5,1.92
1.52,1.88
1.5,1.84
1.5,1.84
1.5,1.84
1.52,1.84
1.52,1.8
1.5,1.8
1.52,1.8
1.5,1.76
1.5,1.76
1.48,1.72
1.48,1.72
1.5,1.72
1.52,1.72
1.5,1.72
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.3,1.72
1.44,1.68
1.48,1.68
1.48,2.04
1.48,1.92
1.5,1.88
1.5,1.84
1.52,1.84
1.5,1.8
1.52,1.8
1.5,1.8
1.52,1.8
1.5,1.8
1.5,1.76
1.52,1.76
1.5,1.76
1.5,1.76
1.5,1.72
1.5,1.76
1.5,1.72
1.52,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.24,1.72
1.44,1.72
1.46,1.68
1.5,2.04
1.48,1.92
1.52,1.88
1.52,1.84
1.5,1.84
1.52,1.8
1.52,1.8
1.5,1.8
1.52,1.76
1.5,1.8
1.5,1.76
1.48,1.76
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.72
1.5,1.72
0.98,1.68
1.44,1.72
1.48,1.72
1.48,2.12
1.5,1.96
1.52,1.92
1.5,1.84
1.52,1.84
1.52,1.8
1.5,1.8
1.52,1.8
1.52,1.8
1.5,1.8
1.5,1.76
1.52,1.76
1.5,1.72
1.52,1.76
1.5,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.44,1.72
1.48,1.68
1.5,2.12
1.5,1.92
1.5,1.92
1.5,1.84
1.5,1.84
1.5,1.8
1.5,1.8
1.5,1.8
1.52,1.8
1.48,1.8
1.5,1.76
1.5,1.76
1.52,1.76
1.5,1.72
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.52,1.72
1.52,1.72
1.48,1.72
1.5,1.68
1.4,1.72
1.44,1.72
1.48,2.2
1.5,1.96
1.52,1.88
1.5,1.88
1.5,1.84
1.5,1.84
1.5,1.8
1.52,1.8
1.5,1.76
1.5,1.76
1.48,1.76
1.52,1.76
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.42,1.72
1.46,1.72
1.5,2.24
1.5,1.96
1.48,1.92
1.52,1.84
1.5,1.84
1.52,1.84
1.5,1.8
1.48,1.8
1.5,1.8
1.5,1.76
1.52,1.8
1.5,1.76
1.48,1.76
1.52,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.52,1.72
1.52,1.72
1.5,1.72
1.5,1.68
1.48,1.72
1.4,1.72
1.44,1.72
1.48,2.36
1.48,2.0
1.52,1.92
1.52,1.84
1.5,1.84
1.48,1.84
1.52,1.8
1.48,1.8
1.52,1.8
1.52,1.76
1.54,1.76
1.52,1.76
1.5,1.76
1.48,1.76
1.48,1.72
1.5,1.76
1.48,1.72
1.52,1.72
1.5,1.72
1.5,1.68
1.5,1.72
1.48,1.68
1.5,1.72
1.4,1.72
1.48,1.68
1.5,2.6
1.48,2.0
1.5,1.92
1.52,1.84
1.52,1.84
1.52,1.8
1.52,1.84
1.52,1.8
1.52,1.8
1.5,1.8
1.5,1.76
1.48,1.72
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.52,1.76
1.5,1.72
1.52,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.48,1.72
1.36,1.68
1.46,1.68
1.48,2.0
1.5,1.92
1.5,1.84
1.5,1.84
1.5,1.8
1.52,1.8
1.52,1.8
1.5,1.8
1.52,1.8
1.52,1.8
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.72
1.48,1.72
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.52,1.72
1.5,1.72
1.5,1.68
1.32,1.72
1.48,1.68
1.48,2.04
1.5,1.96
1.5,1.88
1.5,1.88
1.5,1.84
1.52,1.84
1.52,1.8
1.5,1.8
1.5,1.76
1.5,1.8
1.52,1.76
1.5,1.76
1.52,1.72
1.52,1.72
1.5,1.76
1.52,1.72
1.5,1.72
1.5,1.72
1.52,1.72
1.5,1.72
1.48,1.72
1.48,1.72
1.5,1.72
1.26,1.72
1.44,1.68
1.48,2.08
1.5,1.92
1.5,1.88
1.5,1.84
1.5,1.84
1.5,1.84
1.52,1.8
1.48,1.8
1.52,1.8
1.52,1.76
1.5,1.76
1.5,1.76
1.52,1.76
1.5,1.76
1.52,1.76
1.48,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.48,1.72
1.48,1.72
1.14,1.72
1.44,1.68
1.48,2.08
1.48,1.96
1.48,1.92
1.5,1.84
1.52,1.84
1.5,1.84
1.5,1.8
1.52,1.8
1.52,1.76
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.76
1.5,1.76
1.48,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.48,1.72
1.5,1.72
1.5,1.72
1.44,1.72
1.48,1.72
1.5,2.12
1.5,1.96
1.52,1.88
1.5,1.84
1.5,1.84
1.5,1.8
1.5,1.8
1.5,1.8
1.52,1.76
1.52,1.76
1.52,1.76
1.52,1.76
1.5,1.76
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.72
1.5,1.76
1.48,1.72
1.52,1.76
1.5,1.72
1.48,1.72
1.5,1.72
1.42,1.72
1.48,1.72
1.48,2.16
1.52,2.0
1.5,1.92
1.5,1.88
1.52,1.84
1.52,1.8
1.52,1.8
1.52,1.8
1.52,1.8
