Res_at_0.2,R_std_0.2,Res_at_0.3,R_std_0.3,Res_at_0.4,R_std_0.4,Res_at_0.5,R_std_0.5,Res_at_0.6,R_std_0.6,Res_at_0.7,R_std_0.7,Res_at_0.8,R_std_0.8,Res_at_0.9,R_std_0.9
79331.62393162392,64461.408321246134,57585.15406162465,49551.91451190033,68198.25771324863,109845.81578589069,36788.88888888889,24757.166315041333,34800.0,16938.778652022767,97833.33333333333,89847.40149584491,29621.568627450983,10086.895621713977,18486.826115061413,7159.45806439279
47075.87301587302,16591.16869936484,56718.095238095244,48803.1733847944,72676.55677655678,107089.7783084298,109012.86956521738,141600.2718996033,43633.333333333336,24949.504559765868,115866.66666666667,125059.67464463603,37876.66666666667,28659.75594995727,35294.017094017094,30625.02031646962
31892.096908939013,10532.960710716927,33831.11111111111,16037.306814940695,209733.33333333334,153615.39274724032,35562.70805218173,18760.757388078604,23147.368421052633,7749.577774219081,108716.66666666666,126711.71896167386,53742.857142857145,34953.444904009055,181270.32967032967,144339.4294195415
42533.33333333333,32296.08034352706,90799.99999999999,133860.29116590327,134053.3333333333,154039.57638532546,29258.169934640522,11977.212903932696,110733.33333333334,81429.7243026157,49060.0,43903.95072073684,55080.430107526874,34611.15925552023,64500.0,87074.68059085833
78414.28571428571,43289.45842678508,65682.22222222222,59318.56328854639,109266.66666666667,101295.60701234777,91834.92063492064,83377.75807550932,48445.1282051282,25685.392999596505,42035.71428571428,16589.656265617377,37007.7915376677,26251.848559031085,45019.61538461539,54844.222144750325
48221.90476190476,27250.77452143591,87738.09523809524,90963.93905618193,27212.05128205128,10558.346219221268,95457.14285714287,155811.18872087542,82528.20512820514,70403.18656496299,90738.86639676112,146551.30943776402,38566.66666666667,35896.37864743462,66282.85714285713,86436.59962713736
126997.61904761902,155916.62539948622,59781.53846153846,51220.114854229614,28474.867724867723,15005.85932051137,43873.74847374848,37432.04841199524,83270.4761904762,98574.70332724527,32503.589743589742,14914.588034074794,51071.42857142857,30479.00842626817,22924.13273001508,10736.59701104419
33608.66666666667,21311.750488612823,103284.76190476191,144624.28571350177,92046.19883040935,112692.70888825034,34730.60428849903,42497.75789911985,40398.12030075188,27534.492896804484,46900.0,36342.81221919954,27272.35294117647,8327.108355486542,62797.777777777774,75857.79109053862
56100.0,12807.116077486857,71076.92307692308,62846.50691926054,48566.66666666667,28168.971799166233,39200.0,32084.610364195207,38573.33333333333,12502.741921496883,23596.881910659,12428.915258525352,48851.28205128205,36472.73170179233,40096.078431372545,26341.158152997283
123765.71428571428,73908.74792883561,42493.333333333336,34488.5155554051,42596.561085972855,38172.62843181082,41426.90058479532,30208.210421701184,36437.777777777774,23153.49159067604,78866.66666666667,87882.76597579046,75602.35294117648,82918.32993642821,71532.70846800259,97220.52257549782
177333.3333333333,190606.6339057717,36165.373841844426,33490.15723740095,86713.84615384616,89709.99535320571,81986.66666666667,80687.33068662844,92455.0,145520.27178369343,34318.25396825397,19258.470943297187,121941.17647058824,126449.08161870742,37880.0,19717.809208935967
122697.14285714287,156229.22046317265,38104.57516339869,26344.400670892686,61013.333333333336,37687.91141290091,19576.610644257704,6399.176717939575,91478.09523809524,146336.43332684058,68121.42857142857,86116.12173630726,74863.46153846153,57306.25336990596,31129.59706959707,24344.672885076143
59670.0,40642.27478869754,47640.4761904762,25056.156317116063,87561.88034188034,147955.85053883874,95177.77777777778,112490.86657026158,73477.14285714284,55971.95507664565,47416.66666666667,36014.94674283011,86009.5238095238,137245.29243214347,27470.915750915756,15087.935728896087
53175.39682539683,45463.05493969233,69850.0,36668.95826172323,58317.948717948726,43575.373196840424,63922.222222222226,87804.39680770795,102928.57142857143,95985.46007556752,42405.555555555555,38215.61837330806,54511.11111111111,55877.348046335894,72788.57142857143,71823.25983315728
44055.0,28750.589124398826,33903.333333333336,6447.613684319357,68917.64025448236,85650.13045414757,34943.8596491228,36211.63025124135,107142.58109040717,142464.05546267662,76780.0,106729.48046345958,51806.153846153844,57537.440961742774,67466.66666666666,85752.09748001632
145182.5396825397,163837.12372846092,83284.70588235294,114171.231022003,67833.33333333334,64818.12160876685,72180.95238095238,95452.98613641312,51226.92307692308,37053.85593490872,97323.80952380953,112061.20978835195,64822.35294117646,57959.25164467767,36777.777777777774,29364.041165688468
121502.85714285713,156155.34860503234,64690.4761904762,87119.4608196971,47970.47619047619,12128.560397848669,65319.04761904762,75226.9079988991,103599.62962962964,140380.82002294867,73346.955624355,98616.02802219131,119871.79487179487,120370.81649978858,50076.19047619047,35512.19968589121
71255.55555555555,53201.07443452298,37881.90476190476,12162.897748178806,55762.60504201681,67893.40450196613,51040.0,30872.375282047138,52360.0,34937.77325474536,107929.41176470587,126541.5685026118,64800.0,60899.09687343482,34317.12418300654,31160.55138986222
35597.222222222226,23434.876108268134,57435.96774193549,53353.79797835277,112409.52380952382,50267.43219251432,25946.837606837606,9616.115991178005,40202.380952380954,32223.600085873884,30826.19047619048,12663.223887660874,82934.76190476191,126097.71284526637,110855.55555555555,112200.35781230769
92085.71428571429,121730.44828972055,47841.269841269845,39913.39397551272,124499.1452991453,128387.95875147526,28669.683257918554,18147.731708474315,74616.66666666666,118482.32464310643,84327.81954887217,72293.15656531986,62144.76190476191,48141.623270891716,34148.88888888889,10682.250190657513
123660.95238095238,135516.04545574565,37491.33089133089,12034.276474688104,48154.285714285725,30742.94299864096,28050.0,7379.024325749306,86166.66666666667,60638.72983131783,45420.0,30357.111559274246,62471.3725490196,55788.93329368204,82735.71428571429,116009.85619633306
30188.888888888894,10594.543107816933,101996.66666666667,141125.15151059674,87670.0,113240.9797732252,102412.82051282052,119319.7938943499,34217.56613756614,21801.87340435265,50153.333333333336,17422.233560087014,63472.820512820515,58617.970914519356,119757.54475703326,142056.73125407053
81205.3846153846,52888.538008369265,127733.33333333333,128850.61333014892,72333.33333333333,62684.00075471638,38800.683760683765,12955.492605934738,40962.93859649122,32895.51446814771,23496.666666666668,8159.779408783058,56613.333333333336,26187.29123491436,43071.11111111111,37131.98813974114
32706.666666666664,15069.955393283535,87413.33333333334,40573.948949212885,56190.47619047619,63869.15301992811,91719.04761904762,123467.24941458984,53821.428571428565,57463.33125372658,32018.73015873016,7824.135607821112,99317.77777777778,141933.830783882,75070.90196078431,118864.0228699409
35012.38095238096,13916.330640776017,110030.0,160693.82222101756,51542.857142857145,30996.403675528654,88942.85714285714,122991.77009135239,139228.57142857142,99965.5859150885,85092.85714285714,125708.02439764608,32327.05882352941,14036.905166427818,131640.0,141237.55874412443
31666.03174603174,11685.698848215137,99640.0,95285.08802535683,33785.71428571429,16286.854596669711,29539.365079365078,13624.152685842724,30345.761462479724,18026.18850946985,86240.0,58443.03209108849,75166.66666666667,60053.9109652504,41848.35164835166,35063.57689187209
52433.33333333333,29578.661602956654,171233.3333333333,129516.92296118422,63250.0,33228.376427385076,42761.794871794875,21584.872509144658,43314.73389355743,23230.63739998379,86520.0,100044.25020959476,23341.153846153844,9691.550985418102,87057.14285714287,90255.28420281336
112786.66666666667,95680.1895204366,46880.0,30428.144866225415,207883.07692307694,159418.86979695118,82102.52100840336,77128.35046040207,118433.33333333334,109690.9547572431,43441.26984126984,38168.74917990078,115133.33333333333,76115.35470732709,39056.92307692308,20856.488780721338
49840.89635854341,70696.92455313877,59976.88888888889,35880.621049719586,27801.904761904763,14627.632658369866,81164.44444444445,92357.70850875229,56312.28070175438,61521.01527904219,87755.55555555555,111498.55781606204,21067.61904761905,6074.654978398029,47622.368421052626,46499.779305019416
130420.51282051283,97109.76898378534,101933.33333333333,73534.7234682742,50819.00452488688,52692.35587485096,21522.222222222223,6476.88196588451,36212.820512820515,33585.07454337649,97352.38095238095,115635.21009648817,36736.507936507944,19468.6845991237,33890.47619047619,21679.148099800448
101702.85714285713,140039.97339316792,27492.017543859645,13020.131618764843,37681.904761904756,10727.707149259442,112053.33333333333,101127.43775388887,65406.34920634921,32092.709460310536,117883.33333333333,115328.1790755793,74810.03344481604,118888.51119987716,52540.0,69739.14252412342
69253.78151260506,64942.665865698946,38397.61904761905,10055.048314087779,118291.66666666667,117861.80260749828,92443.07692307691,134242.0204233282,46725.0,48791.841018760504,63855.0,87805.60473125974,39888.571428571435,30954.077902200705,34898.4126984127,13185.707693452525
34120.95238095238,16576.713579795483,115061.53846153845,156666.53615337214,38426.66666666667,22649.82908036206,101384.16040100249,130774.98726654392,69952.74725274724,75007.80295922521,71824.76190476192,22886.772065997142,42560.70175438596,56253.218253410225,46795.555555555555,54184.74661223487
36066.30036630037,32486.794413134423,70400.0,45113.41263970173,37368.571428571435,16273.354959339304,79933.33333333334,78572.82538440939,132800.0,150634.3254374646,86680.0,83940.88396008228,34252.130325814534,21181.091815838703,58383.33333333333,58016.74806084495
46642.75689223058,31497.29101463203,128542.85714285713,141203.15369086096,37338.88888888889,14358.510402811788,43006.34920634921,22151.359805769174,46425.23809523809,38417.900639795,30570.0,8036.603760295764,36293.333333333336,21705.534368502016,25878.039215686276,20462.003515072196
110356.19047619049,101025.34371415105,132989.99999999997,120976.49771753186,82133.33333333334,80868.49750606775,44600.0,42595.25273496515,35985.13071895424,47860.17715750027,217066.66666666666,106472.32295557165,33786.66666666667,16027.920084097694,25803.684210526313,13861.67338093304
63433.333333333336,70392.02730578426,41845.1282051282,26166.467643308995,75902.75689223057,63079.35220493116,29214.603174603177,12636.77373345454,27028.57142857143,9291.89964931663,30030.0,14253.41176398059,58783.33333333333,54879.65368776382,33846.153846153844,22092.916866586424
