Res_at_0.2,R_std_0.2,Res_at_0.3,R_std_0.3,Res_at_0.4,R_std_0.4,Res_at_0.5,R_std_0.5,Res_at_0.6,R_std_0.6,Res_at_0.7,R_std_0.7,Res_at_0.8,R_std_0.8,Res_at_0.9,R_std_0.9
33386.630036630035,16964.003205865458,104506.66666666666,105769.82976675764,32699.682539682537,15135.076134741916,38889.28571428572,16865.9007969891,38213.333333333336,10654.931044148318,46533.04029304029,27809.361490511594,29761.64251207729,11644.548279454502,53650.904183535764,68552.45536825224
24933.333333333332,15022.958253664887,26714.285714285717,8298.703556919214,51405.228758169935,30913.36064789874,37112.69841269841,11980.363647516388,34766.666666666664,12798.437404620921,28265.864661654137,16119.353243391779,37803.1746031746,21751.191601951658,75105.55555555556,63362.96943058878
68998.12996727444,60934.045834400225,41873.33333333333,24456.297126421294,68510.4761904762,85023.61139313635,40107.39541160593,21472.48600830592,82060.0,79473.00170498155,35860.0,13861.745921780559,151066.66666666666,148452.46152668985,163058.82352941175,193191.87204914895
30531.111111111113,8361.465108785189,45725.49019607843,23571.891758690348,47520.63660477453,25268.15090785612,37219.48717948718,26032.291281197522,39549.45054945055,23301.67249512187,35247.142857142855,12128.995870076244,56704.36781609196,25179.13255215005,34929.67032967033,11975.691879420678
34561.24927703875,7529.34777813286,108619.96336996337,161134.43900934883,28419.49602122015,9627.08374987272,52485.7142857143,17625.23700810394,29689.242714629712,15084.983557162048,31864.684335272566,11291.45040406122,104892.85714285713,162895.5507654634,57492.2305764411,36515.03291070228
135128.57142857142,195884.10515675135,41242.857142857145,20610.800616201603,37311.355311355306,19053.05822593858,83689.04761904762,71826.71031071212,57297.777777777774,25615.16526118902,53163.58543417368,17208.864153486767,104719.99999999999,163138.5668687818,47049.67418546366,20529.270179788065
41229.48717948717,22852.520228677276,41910.0,32043.889590853407,80571.42857142857,80418.04041687286,23778.465772273823,4264.747083437539,111950.0,183642.0090828893,61154.761904761894,48351.229679963944,126400.0,176583.37659272712,40073.666519239276,23733.382515738478
29670.90667846086,8841.680953678575,40943.15789473684,18276.699969437952,50210.425039581045,48085.60884348719,48480.0,35585.83988049179,34737.230769230766,11170.180421590672,58721.08597285068,53227.10079734148,42132.1568627451,23549.719488056897,43672.049689441,43665.392655750344
30747.619047619046,2925.8407710753972,65276.4073371284,86924.86192104346,46105.71428571428,11709.831905937255,47007.899159663866,29228.340189051214,32399.03381642512,8761.778628336015,50086.66666666667,26179.58916577739,40860.15037593985,15076.320059492818,108484.44444444445,137542.57020022548
30887.777777777774,14079.700605332571,45128.69565217391,30495.37719467898,51063.492063492056,27845.454971320516,35101.5873015873,10627.097335717632,106186.3354037267,163047.04970947898,46085.71428571428,31469.3890785886,67086.21553884711,47765.557086578425,41328.571428571435,18523.537150647782
65769.93464052286,74727.44192245632,49210.52631578947,30820.452251845854,31520.476190476184,11479.03165778601,28835.55555555555,9130.840427560883,29390.47619047619,10756.45879905146,63000.0,47664.33560733738,29247.14285714286,6219.0695872141705,123597.70114942528,179834.61119246596
34266.470588235294,19622.96907261777,69688.72180451128,48375.561980102335,112141.33333333333,160385.93831408315,43120.0,27527.60836364507,44001.69312169312,29268.181859482844,143000.0,168626.8068843148,30572.957477305306,17529.100160103633,31201.680672268907,18671.527642253735
68581.11946532999,85746.24573644661,23143.13725490196,6831.503116646924,36404.76190476191,23602.69090888981,43036.190476190466,33706.65648814751,62449.999999999985,76086.79254640716,50311.904761904756,48094.693243024114,100807.14285714284,165069.10967648594,128051.28205128205,144774.48059002584
29046.727930938458,10168.58094564691,73299.48717948717,70228.54450188602,34212.865497076025,18287.805987983094,41251.929824561405,32417.220324880946,67047.61904761904,50779.814583759544,58900.0,22336.940007281417,38882.783882783886,19338.140861666878,43506.81318681319,17273.635678524704
35318.54636591479,15551.366136932962,38195.72984749456,34478.749157395396,32917.29323308271,13269.346458282269,42753.864734299525,42064.242981941556,77314.28571428571,40953.73198214427,23163.32506203474,8205.397746511177,75845.92249855406,71128.03089638558,47561.90476190476,7539.946528377615
53535.38748832866,24800.15277973629,42691.57894736841,35048.97831444486,69303.79572118702,86188.6148642437,43892.156862745105,23772.25782744527,21845.475901429993,9942.878483114397,28512.380952380954,16337.254006739495,79644.23076923078,56135.789616089205,46628.571428571435,24500.229070149446
33616.910148674855,10335.458444541959,39673.333333333336,21838.070732858556,24612.885154061623,6987.485324273204,38435.16483516483,15663.912191772264,31276.190476190473,10407.698179996174,30733.333333333332,21233.83044943977,110041.90476190476,160701.16963763046,62657.28937728937,75925.10769257635
142332.8320802005,198004.34372741365,49988.85448916409,54167.81948625665,23500.036536353673,9746.07740844464,45870.0,49063.576102848434,52078.24561403509,28480.508840440394,57794.06162464987,47516.03895353772,50707.47638326586,30424.882322974132,23568.823529411766,5426.122099442868
43504.43064182195,27273.83936071058,68807.92270531402,85659.86321316507,45069.80392156863,31571.128070488925,64277.777777777774,27491.86187103017,32838.596491228076,23902.124215494474,36310.47619047619,18329.68126890103,104969.23076923075,162955.41191439252,111859.92673992673,159133.29338104546
25870.12531328321,4337.908557901721,30147.252747252747,4741.790712073513,37015.890878090366,34808.16457993098,41706.946778711485,24446.557280265453,51183.35839598997,41331.645788816146,46280.50125313283,43348.85210360111,56269.23076923077,34295.33668508293,33813.085764809905,14689.373398678264
41930.95238095238,18636.322822506358,42538.879551820726,23375.838530527883,54050.0,32953.755476424834,27974.285714285717,12505.27398944223,34172.44851258582,14232.796319573592,40275.014459224985,14478.35677315176,30984.900284900283,10366.397813836335,47703.33333333333,37309.662138498235
45747.106227106226,22157.114939961513,132440.0,197696.65652205652,38542.69005847953,16822.97605988631,27752.380952380954,10221.215320615524,39331.868131868134,18552.30564975984,37064.912280701756,13795.626612624912,37054.28571428572,13697.774286655598,30450.79365079365,13653.477034154967
30654.94505494506,5558.278499200959,34488.72180451128,16588.42925280964,48472.15265354801,37928.57465560395,31733.613445378152,10701.83062519285,33526.52209875211,23930.761570347055,50196.26844890003,70411.17890371801,145577.14285714284,155547.9982355994,81416.11721611719,71026.54806192193
28549.23076923077,7977.874235506239,45577.30994152046,32657.788522675866,37222.71062271063,17285.86456213441,48417.142857142855,40040.775362247645,57619.04761904762,37626.88284890432,27693.10969732022,4269.560872927822,31029.670329670327,10875.729019477636,103555.26315789473,163895.79329426604
27827.890540831715,8953.796636014282,46112.51461988304,22213.40197995342,38783.959899749374,21218.171698655005,35292.75362318841,10845.802043656075,46249.29971988795,33127.97829573514,119460.0,179854.84023388292,31986.666666666668,26636.33274724999,41607.93650793651,33087.27855257395
