Res_at_0.2,R_std_0.2,Res_at_0.3,R_std_0.3,Res_at_0.4,R_std_0.4,Res_at_0.5,R_std_0.5,Res_at_0.6,R_std_0.6,Res_at_0.7,R_std_0.7,Res_at_0.8,R_std_0.8,Res_at_0.9,R_std_0.9
3231.2499999999995,0.0,3265.8467741935483,73.44711299913999,3302.306451612904,109.87123200750298,3323.1532258064517,69.71126452368742,3373.3333333333335,0.0,3388.0,32.795663669996785,3381.9310344827586,68.07889852877337,3466.390804597702,52.02070789034003
3184.1666666666665,44.59988010696376,3286.693548387097,75.92325421566956,3351.0967741935483,66.354733291082,3329.806451612904,59.60163744034695,3351.5698924731187,48.664533187737234,3381.9310344827586,68.07889852877338,3373.3333333333335,0.0,3419.862068965517,63.71209519485393
3252.0967741935483,46.614804208362756,3231.25,73.1854838709678,3300.4731182795704,51.02224752171063,3366.236559139785,65.12898876442915,3373.3333333333335,0.0,3419.862068965517,63.71209519485393,3373.3333333333335,0.0,3373.3333333333335,0.0
3170.833333333333,67.62013486298936,3279.5967741935483,52.794370391219005,3258.306451612903,61.747288422014044,3365.763440860215,16.926794152256534,3374.8342602892108,79.62520061250699,3373.3333333333335,0.0,3381.9310344827586,68.07889852877337,3396.597701149426,52.02070789034004
3203.75,37.655925828479916,3238.3467741935483,61.92624915403165,3322.709677419355,83.79671375268694,3351.5698924731187,48.664533187737234,3373.3333333333335,0.0,3373.3333333333335,0.0,3373.3333333333335,0.0,3373.3333333333335,0.0
3217.5,30.7459346906219,3252.0967741935483,67.35147527251341,3388.0,84.15988285852691,3329.806451612904,59.60163744034695,3351.5698924731187,48.664533187737234,3388.0,32.795663669996785,3396.597701149425,52.02070789034004,3419.862068965517,63.71209519485393
3217.5,30.7459346906219,3231.25,73.1854838709678,3278.709677419355,31.737739035480697,3329.806451612904,59.60163744034695,3373.3333333333335,0.0,3373.3333333333335,0.0,3398.0986281053024,94.65215966937862,3443.1264367816098,63.71209519485393
3197.9166666666665,46.79391134420028,3231.25,73.1854838709678,3300.4731182795704,51.022247521710625,3308.043010752689,59.601637440346956,3351.5698924731187,48.664533187737234,3388.0,32.795663669996785,3358.666666666667,32.79566366999698,3419.862068965517,63.71209519485393
3212.083333333333,86.56995806218741,3272.5,70.99545829738234,3343.5268817204296,65.33487649221294,3322.236559139785,54.91026324885858,3388.0,32.795663669996785,3417.333333333333,40.16632088371202,3419.862068965517,63.71209519485393,3443.1264367816098,63.71209519485393
3197.9166666666665,46.79391134420028,3231.693548387097,94.74716821359527,3322.236559139785,54.91026324885858,3329.806451612903,59.601637440346956,3388.0,32.795663669996785,3388.0,32.795663669996785,3435.034482758621,88.64291505370959,3419.862068965517,63.71209519485393
3217.5,30.745934690621905,3224.1532258064517,37.354306381660294,3300.94623655914,81.460196857734,3358.666666666667,66.28723100169518,3388.0,32.795663669996785,3396.597701149426,52.02070789034004,3373.3333333333335,0.0,3419.862068965517,63.71209519485393
3203.7499999999995,37.65592582847992,3224.1532258064517,37.354306381660294,3300.94623655914,81.460196857734,3315.612903225807,82.92401730830888,3388.0,32.79566366999678,3351.5698924731187,48.664533187737234,3396.597701149426,52.02070789034004,3427.954022988506,58.697177955676686
3151.25,59.43162504555589,3203.75,37.65592582847992,3329.3333333333335,74.57430737913388,3366.236559139785,65.12898876442915,3366.236559139785,65.12898876442915,3373.3333333333335,0.0,3411.264367816092,54.11730578146202,3396.597701149425,52.020707890340034
3190.0,37.65592582847992,3266.2903225806454,94.74716821359527,3322.236559139785,54.91026324885858,3326.0765665554327,153.21692696024806,3351.5698924731187,48.664533187737234,3388.0,32.795663669996785,3381.4252873563223,18.09415926620531,3396.597701149425,52.02070789034004
3203.75,61.491869381244165,3265.4032258064517,42.5610043748067,3300.4731182795704,51.022247521710625,3365.763440860215,16.926794152256534,3388.0,32.795663669996785,3373.3333333333335,0.0,3396.597701149426,52.02070789034004,3381.9310344827586,68.07889852877338
3157.083333333333,58.65980073459347,3224.5967741935483,70.88105845139746,3272.056451612903,38.271312406002494,3417.3333333333335,65.59132733999355,3351.5698924731178,48.664533187737234,3373.3333333333335,0.0,3373.3333333333335,0.0,3427.954022988506,58.697177955676686
3238.3467741935483,61.92624915403166,3210.4032258064517,45.7897924471352,3294.736559139785,104.94779340132905,3351.5698924731187,48.664533187737234,3388.0,32.79566366999678,3373.3333333333335,0.0,3396.597701149426,52.02070789034004,3443.1264367816098,63.71209519485393
3203.7499999999995,37.65592582847992,3230.806451612903,41.6498784683799,3336.9032258064517,77.22849831966991,3308.043010752688,59.60163744034695,3365.763440860215,16.926794152256534,3411.264367816092,54.11730578146202,3396.597701149426,52.02070789034004,3396.597701149426,52.02070789034004
3162.5,0.0,3265.4032258064517,42.5610043748067,3343.5268817204305,65.33487649221296,3380.9032258064517,74.68303546854617,3351.5698924731187,48.664533187737234,3388.0,32.795663669996785,3396.597701149425,52.02070789034004,3419.862068965517,63.71209519485393
3231.2499999999995,0.0,3300.443548387097,49.401415008992885,3351.5698924731187,48.664533187737234,3337.3763440860216,99.76795832405897,3373.3333333333335,0.0,3404.167593622544,88.5631860828809,3419.862068965517,63.71209519485393,3443.1264367816098,63.71209519485393
3217.4999999999995,30.745934690621905,3251.6532258064517,62.69584300804229,3308.043010752689,59.60163744034695,3329.806451612904,59.60163744034695,3411.264367816092,54.11730578146203,3351.5698924731187,48.664533187737234,3443.1264367816098,63.71209519485393,3396.597701149425,52.02070789034004
