Res_at_0.2,R_std_0.2,Res_at_0.3,R_std_0.3,Res_at_0.4,R_std_0.4,Res_at_0.5,R_std_0.5,Res_at_0.6,R_std_0.6,Res_at_0.7,R_std_0.7,Res_at_0.8,R_std_0.8,Res_at_0.9,R_std_0.9
33055.0,27272.458635040588,7965.833333333334,6125.603995162889,47080.0,45669.21282439626,39000.23809523809,55263.318533032805,45787.49999999999,33888.9385530146,36941.666666666664,16694.913563384773,20569.999999999996,17738.577701971735,43046.666666666664,29048.470986726075
31543.809523809527,38554.09610573969,31350.0,29142.2159418257,68383.33333333334,30633.677908834616,24566.666666666668,10236.339135105323,52394.04761904762,21914.207008716094,21144.444444444445,16503.748288244355,22796.190476190477,21348.98637846198,41125.59523809524,21488.368988165246
31350.0,27503.055385821328,25611.666666666668,18010.06238807135,32633.333333333332,28213.385810442687,47648.33333333333,31821.697480737188,71775.0,43918.28349332428,23430.0,25383.69008285088,64240.0,36924.62592904632,33306.428571428565,13376.205934572088
15850.0,17619.76872719957,37675.0,50367.05892743788,52276.19047619047,50004.90012836814,27720.0,12937.281399119369,32725.0,33382.276568396126,67204.76190476191,42272.51577052353,71041.66666666667,114747.29935093607,40599.16666666667,29754.913868226133
12058.095238095239,8393.763645742567,18535.0,18035.099266584468,64755.95238095238,55442.59980901659,62700.0,31439.12769146116,38408.333333333336,31459.166655629437,42808.33333333333,36076.97692280894,56265.0,22909.00205159535,40012.5,46319.33991325869
20716.666666666668,14400.713716880686,25383.809523809527,33292.13586806345,30653.333333333336,18159.904704840523,47300.0,31365.541956456327,13566.666666666668,12288.120957520994,49793.333333333336,23893.40506406643,61325.0,84941.71959079246,69575.0,103408.9793677942
24841.666666666664,34679.81521480951,40773.333333333336,36659.527429972266,19256.111111111113,10817.711029306534,36795.0,23787.420520098432,41237.777777777774,21297.48086882636,13942.5,13055.518602193564,79789.28571428571,64914.87312281386,58529.16666666667,25546.4820093796
29241.666666666664,17018.306115931617,33916.66666666667,26249.338616006647,32541.666666666668,25927.248643506744,59766.666666666664,34281.06610150209,15766.666666666668,13756.109753689652,31887.777777777774,17743.934974944586,56833.333333333336,47860.18410142425,36430.95238095238,37827.38085871642
13823.333333333334,10080.49960181648,24035.0,14133.234325517991,37583.333333333336,44446.5190488024,64991.666666666664,51901.46915068975,24658.333333333336,22888.78303643269,69614.28571428571,54689.87537763148,48675.0,38672.036265095856,17471.666666666668,9972.642439304753
14428.333333333332,17789.663821694015,10596.666666666668,6308.904641677333,78931.11111111111,119580.29468329306,26620.0,17438.55641961226,44760.833333333336,36584.699528400306,36923.33333333333,42533.25431027141,35750.0,29561.61174376135,64780.83333333333,52875.51529825081
14155.952380952382,11102.453011316045,14336.666666666668,15423.117569270991,36135.0,33050.14939451863,26950.0,18683.816526609327,22412.5,18103.006291927195,38499.99999999999,26289.32239944997,40590.0,6442.2822043123815,42742.85714285714,24854.85159801167
49775.0,58370.1490965678,11366.666666666666,11949.23434320747,34100.0,26077.918101336232,38696.428571428565,69324.53809173669,62012.5,41763.573766501344,40150.0,14980.56031996133,53441.66666666667,58180.89904675665,41666.66666666667,36123.966728783016
35658.333333333336,26101.670870314458,16976.666666666668,7144.827188641833,15555.833333333334,19332.313101672833,74800.0,101738.85074051112,29333.333333333332,19657.63828784006,56283.33333333333,42363.48991499375,84700.0,90398.27673965915,42582.222222222226,29744.30394687277
29713.095238095244,27213.70387975285,24213.095238095237,26477.587000682008,33825.0,30852.33648634519,40370.0,19059.900642448272,45041.071428571435,40326.47954097118,38170.0,39275.16072532358,32135.714285714283,24671.678797639157,46239.28571428571,31875.219086882124
4919.444444444444,1872.3850077598759,12807.142857142857,11823.992073270043,39233.33333333333,34636.17449045626,24261.111111111113,17784.80329930758,31075.0,27015.241325757,88220.0,100110.27419800627,42093.33333333333,21317.41789137595,26942.14285714286,23895.611919156403
24566.666666666664,19863.872671259243,13658.333333333334,14596.315650038387,31533.333333333332,57744.907182846495,54083.33333333333,45695.62646225323,22458.333333333336,21319.546326213316,44680.95238095238,22719.228569585106,55641.666666666664,8462.178928752464,26950.0,24456.281856043086
12558.333333333334,6795.091161190472,17194.04761904762,22354.706780663284,16342.857142857141,11391.502382504787,71151.66666666666,61106.144103700586,29058.333333333332,19675.26295179361,62440.71428571428,40341.41330631613,37777.142857142855,19153.07930104238,33192.5,21823.03040940923
21010.0,20555.256153975693,37106.66666666667,27105.323380390717,16751.428571428572,4091.150229957539,78283.33333333333,74753.59058637622,62901.666666666664,69851.09469833352,39966.666666666664,26798.58969651616,38775.00000000001,25612.591846806743,61364.28571428572,51969.66957873071
33108.25396825397,67602.2583989615,16583.809523809523,14058.180593874064,12872.619047619048,18369.403292547722,52396.666666666664,45673.81239713725,26620.0,19134.151405275337,68530.0,37321.82188598098,41250.0,10516.727746785118,47876.19047619048,29405.531366450617
