Res_at_0.2,R_std_0.2,Res_at_0.3,R_std_0.3,Res_at_0.4,R_std_0.4,Res_at_0.5,R_std_0.5,Res_at_0.6,R_std_0.6,Res_at_0.7,R_std_0.7,Res_at_0.8,R_std_0.8,Res_at_0.9,R_std_0.9
84123.80952380953,63820.55341775683,341440.0,222979.52372359217,196406.5934065934,216514.9848830411,212031.1111111111,228737.02599651064,86508.57142857145,57702.94388006823,59473.333333333336,24771.58318181002,108900.0,59542.421851987165,400434.8717948718,479656.5779251621
50742.857142857145,28786.759995185424,401133.3333333333,354754.5004021169,104028.57142857143,39955.09724576287,366764.44444444444,488789.92776189797,216444.44444444444,152697.95894728482,106778.57142857143,77865.23712839527,369089.85507246375,572118.3910810319,191825.2100840336,301589.7887142953
492123.0769230769,490071.97152878117,232366.6666666667,273358.74881838984,81656.66666666667,61216.809147669745,92913.33333333334,98180.29786514648,156422.61904761902,205313.00673047907,251470.4761904762,193786.96471024558,217713.04347826084,197638.17066254062,54109.52380952381,64189.00485808455
68307.84313725491,64130.75119434109,81253.33333333334,43859.694667502314,132545.29914529916,103498.2259132268,310736.957779063,539892.1052793593,403857.14285714284,431087.28222711367,81668.88888888888,66292.03087871641,153963.33333333334,97601.57700228687,167860.0,133521.15188238904
79409.52380952382,29874.598072230605,107360.0,73204.15288766069,216983.3333333333,183385.12904692016,263266.6666666666,329698.38067879895,236500.0,67585.1315009448,429733.3333333333,439376.22451228136,179774.5098039216,151870.97630827597,195311.1111111111,126682.61108225267
358704.76190476195,287697.43964805343,123183.07692307695,57592.90209846699,72416.66666666667,25356.45259512097,324622.2222222222,387686.885240724,156908.8888888889,134112.8243469691,68234.92063492064,54320.72852041995,120942.96296296296,98957.67255486557,153358.3333333333,129241.71072709718
191551.13122171946,186496.62012045438,323106.6666666666,256128.4642952091,164683.66013071896,93771.88822472944,187000.0,85059.94944743384,158559.99999999997,147462.42911331684,378216.6666666666,276996.8887711356,190080.0,149648.88090311788,186706.6666666667,74011.46457738077
63039.34640522876,43469.430647625704,175586.6666666667,118567.56536066497,136738.9355742297,121697.28315929692,162800.0,139757.24986164007,300647.88359788357,497131.15287348104,127177.72893772894,132463.64954468468,70180.00000000001,67611.78233940524,133948.57142857142,74775.69833324521
77268.57142857143,51904.754215814195,46731.76470588235,21989.189542759526,61937.71929824562,29943.398499958228,264499.99999999994,232468.27740575696,371066.6666666666,404817.2701629986,56061.53846153846,33447.01325372721,341128.5714285714,489124.3383510444,214002.38095238098,246106.11586557518
357526.1904761905,425193.89537927334,84016.89075630253,75040.25360952853,144106.6666666667,162018.2815473475,245960.0,136738.00861501528,166807.14285714287,166579.15993587946,203444.12698412698,245053.5844662615,161553.3333333333,126688.40076695611,112750.0,74718.17419848773
