,0,1
Res_at_0.2,15749.23908088951,8488.060708629797
Res_at_0.3,15604.296131112065,10155.925053168485
Res_at_0.4,18473.279278332793,9219.088668193439
Res_at_0.5,19769.37901011771,6425.745889613099
Res_at_0.6,23327.989596089323,13522.016387567322
Res_at_0.7,26558.59725139003,10351.458111245822
Res_at_0.8,27015.981385531013,9530.836729584154
Res_at_0.9,26268.681145212082,8057.350171741477
