Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.004,0.044,0.03,0.016,0.036000000000000004,0.03,0.022,0.008,0.006,0.01
0.042,0.112,0.11,0.036000000000000004,0.11,0.004,0.006,0.002,0.012,0.02
0.104,0.076,0.07200000000000001,0.036000000000000004,0.102,0.012,0.008,0.018000000000000002,0.022,0.026
0.116,0.024,0.036000000000000004,0.036000000000000004,0.024,0.01,0.03,0.032,0.008,0.01
0.01,0.012,0.1,0.03,0.006,0.002,0.008,0.006,0.018000000000000002,0.034
0.008,0.048,0.078,0.032,0.04,0.016,0.022,0.002,0.02,0.004
0.08199999999999999,0.036000000000000004,0.038,0.02,0.014,0.008,0.018000000000000002,0.002,0.006,0.006
0.124,0.028,0.11,0.05,0.036000000000000004,0.014,0.002,0.002,0.02,0.022
0.014,0.026,0.086,0.04,0.014,0.022,0.028,0.01,0.008,0.002
0.006,0.038,0.048,0.12,0.04,0.004,0.012,0.008,0.008,0.03
0.094,0.046,0.11,0.008,0.02,0.002,0.028,0.002,0.006,0.022
0.146,0.032,0.084,0.036000000000000004,0.022,0.012,0.018000000000000002,0.012,0.012,0.016
0.03,0.024,0.016,0.118,0.028,0.018000000000000002,0.014,0.01,0.022,0.006
0.02,0.06,0.018000000000000002,0.106,0.026,0.012,0.018000000000000002,0.016,0.006,0.002
0.09,0.128,0.04,0.044,0.12,0.012,0.002,0.004,0.01,0.012
0.06,0.11,0.024,0.098,0.106,0.012,0.006,0.028,0.006,0.004
0.012,0.016,0.034,0.13,0.016,0.006,0.004,0.008,0.01,0.028
0.052000000000000005,0.09,0.01,0.026,0.096,0.002,0.008,0.002,0.004,0.008
0.078,0.114,0.026,0.03,0.106,0.004,0.012,0.014,0.008,0.01
0.014,0.054000000000000006,0.034,0.086,0.002,0.01,0.03,0.004,0.004,0.01
0.058,0.108,0.036000000000000004,0.11,0.036000000000000004,0.012,0.026,0.008,0.028,0.012
0.062,0.108,0.048,0.028,0.096,0.002,0.004,0.01,0.014,0.002
0.158,0.028,0.064,0.104,0.112,0.026,0.004,0.006,0.01,0.026
0.08,0.094,0.116,0.11,0.002,0.008,0.016,0.006,0.004,0.004
0.08,0.106,0.108,0.002,0.014,0.002,0.006,0.004,0.018000000000000002,0.008
0.13,0.014,0.048,0.024,0.106,0.008,0.006,0.024,0.018000000000000002,0.002
0.04,0.11,0.12,0.09,0.1,0.004,0.002,0.006,0.02,0.002
0.07,0.116,0.084,0.036000000000000004,0.022,0.002,0.004,0.028,0.016,0.022
0.118,0.03,0.046,0.024,0.046,0.026,0.034,0.002,0.012,0.01
0.05,0.038,0.108,0.03,0.102,0.032,0.01,0.01,0.042,0.012
0.038,0.032,0.096,0.03,0.104,0.018000000000000002,0.01,0.02,0.006,0.014
0.118,0.026,0.026,0.06,0.03,0.008,0.01,0.006,0.014,0.006
0.08800000000000001,0.044,0.106,0.026,0.052000000000000005,0.004,0.002,0.008,0.006,0.008
0.058,0.042,0.096,0.048,0.024,0.006,0.018000000000000002,0.008,0.022,0.01
0.132,0.028,0.034,0.036000000000000004,0.032,0.012,0.012,0.018000000000000002,0.002,0.008
0.07,0.056,0.1,0.046,0.048,0.002,0.012,0.026,0.004,0.012
0.058,0.04,0.092,0.156,0.016,0.006,0.028,0.002,0.046,0.014
0.04,0.046,0.008,0.13,0.038,0.008,0.004,0.008,0.006,0.002
0.05,0.05,0.028,0.008,0.02,0.01,0.006,0.002,0.004,0.036000000000000004
0.002,0.112,0.038,0.04,0.054000000000000006,0.022,0.002,0.018000000000000002,0.022,0.026
0.044,0.118,0.014,0.096,0.026,0.006,0.026,0.01,0.02,0.006
0.032,0.042,0.026,0.124,0.096,0.014,0.004,0.002,0.006,0.012
0.052000000000000005,0.1,0.026,0.02,0.11,0.032,0.002,0.012,0.03,0.006
0.016,0.112,0.024,0.094,0.04,0.008,0.004,0.044,0.012,0.016
0.046,0.048,0.044,0.13,0.012,0.004,0.002,0.012,0.014,0.002
0.036000000000000004,0.11,0.032,0.006,0.086,0.006,0.016,0.008,0.012,0.008
0.126,0.134,0.032,0.026,0.096,0.016,0.014,0.048,0.016,0.012
0.11,0.002,0.044,0.098,0.03,0.006,0.02,0.002,0.006,0.014
0.044,0.02,0.114,0.11,0.01,0.032,0.004,0.024,0.028,0.044
0.11,0.098,0.102,0.008,0.092,0.034,0.028,0.008,0.012,0.01
0.084,0.112,0.02,0.026,0.124,0.014,0.002,0.01,0.016,0.004
0.046,0.044,0.034,0.102,0.04,0.004,0.002,0.006,0.044,0.014
0.106,0.1,0.108,0.116,0.084,0.032,0.018000000000000002,0.008,0.008,0.018000000000000002
0.106,0.1,0.094,0.03,0.12,0.008,0.022,0.016,0.016,0.01
0.05,0.024,0.032,0.012,0.036000000000000004,0.022,0.018000000000000002,0.006,0.004,0.01
0.108,0.038,0.09,0.046,0.016,0.004,0.012,0.006,0.006,0.034
0.096,0.032,0.106,0.026,0.08,0.014,0.006,0.018000000000000002,0.004,0.004
0.036000000000000004,0.046,0.04,0.028,0.126,0.028,0.032,0.006,0.002,0.02
0.114,0.02,0.114,0.02,0.036000000000000004,0.016,0.004,0.012,0.002,0.022
0.12,0.04,0.09,0.04,0.056,0.006,0.008,0.022,0.022,0.002
0.028,0.028,0.034,0.048,0.008,0.008,0.014,0.004,0.006,0.016
0.028,0.07,0.096,0.042,0.06,0.002,0.016,0.024,0.004,0.018000000000000002
0.026,0.032,0.084,0.02,0.044,0.004,0.004,0.006,0.028,0.032
0.036000000000000004,0.07400000000000001,0.004,0.048,0.056,0.032,0.004,0.026,0.018000000000000002,0.036000000000000004
0.024,0.036000000000000004,0.03,0.132,0.012,0.004,0.018000000000000002,0.004,0.006,0.016
0.034,0.094,0.02,0.128,0.062,0.012,0.002,0.008,0.022,0.012
0.036000000000000004,0.136,0.026,0.012,0.004,0.038,0.014,0.024,0.024,0.006
0.018000000000000002,0.008,0.042,0.008,0.092,0.012,0.012,0.014,0.03,0.012
0.034,0.03,0.032,0.104,0.134,0.004,0.006,0.006,0.012,0.01
0.048,0.11,0.034,0.118,0.056,0.018000000000000002,0.01,0.004,0.006,0.002
0.052000000000000005,0.14,0.038,0.022,0.096,0.014,0.002,0.006,0.016,0.002
0.13,0.052000000000000005,0.042,0.01,0.132,0.016,0.016,0.014,0.002,0.008
0.122,0.106,0.046,0.106,0.07200000000000001,0.014,0.006,0.038,0.022,0.014
0.034,0.126,0.036000000000000004,0.118,0.044,0.006,0.012,0.014,0.004,0.012
0.034,0.04,0.238,0.01,0.12,0.012,0.014,0.034,0.01,0.002
0.112,0.12,0.054000000000000006,0.004,0.04,0.004,0.002,0.026,0.012,0.01
0.126,0.138,0.112,0.102,0.046,0.006,0.014,0.004,0.016,0.012
0.042,0.026,0.11,0.13,0.116,0.006,0.038,0.016,0.01,0.008
0.036000000000000004,0.042,0.03,0.01,0.046,0.006,0.026,0.004,0.032,0.028
0.094,0.1,0.094,0.086,0.044,0.008,0.006,0.032,0.01,0.03
0.112,0.106,0.108,0.12,0.108,0.016,0.002,0.026,0.002,0.02
0.03,0.012,0.05,0.016,0.07200000000000001,0.004,0.004,0.022,0.002,0.002
0.008,0.022,0.108,0.016,0.048,0.02,0.002,0.038,0.012,0.002
0.09,0.054000000000000006,0.118,0.02,0.046,0.018000000000000002,0.018000000000000002,0.002,0.02,0.024
0.108,0.036000000000000004,0.008,0.046,0.044,0.018000000000000002,0.004,0.006,0.016,0.008
0.028,0.044,0.034,0.022,0.042,0.016,0.006,0.026,0.002,0.008
0.008,0.052000000000000005,0.096,0.056,0.056,0.034,0.018000000000000002,0.012,0.006,0.006
0.108,0.046,0.108,0.024,0.038,0.022,0.002,0.002,0.028,0.012
0.128,0.036000000000000004,0.026,0.042,0.142,0.024,0.024,0.04,0.006,0.012
0.042,0.048,0.09,0.026,0.092,0.004,0.008,0.002,0.032,0.002
0.012,0.03,0.128,0.05,0.02,0.016,0.02,0.002,0.002,0.008
0.046,0.066,0.004,0.014,0.12,0.004,0.008,0.004,0.008,0.01
0.036000000000000004,0.06,0.028,0.05,0.07200000000000001,0.026,0.004,0.01,0.02,0.006
0.008,0.106,0.05,0.098,0.07,0.006,0.03,0.008,0.034,0.022
0.046,0.15,0.032,0.13,0.1,0.004,0.03,0.016,0.012,0.004
0.014,0.004,0.034,0.064,0.064,0.014,0.028,0.006,0.004,0.018000000000000002
0.05,0.028,0.02,0.07,0.068,0.006,0.03,0.002,0.012,0.006
0.006,0.11,0.048,0.138,0.102,0.006,0.016,0.006,0.014,0.002
0.062,0.126,0.042,0.032,0.07200000000000001,0.02,0.006,0.026,0.012,0.012
