Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.02,0.26,0.92,0.02,0.84,0.046,0.078,0.048,0.076,0.038
0.22,0.14,0.56,0.36,0.6,0.038,0.022,0.06,0.04,0.046
0.68,0.74,0.06,0.96,0.9,0.046,0.07400000000000001,0.042,0.052000000000000005,0.038
0.78,0.88,0.86,0.88,0.38,0.07400000000000001,0.052000000000000005,0.08,0.068,0.042
0.2,0.32,0.98,0.02,0.1,0.034,0.044,0.078,0.06,0.018000000000000002
0.94,0.08,0.48,0.5,0.72,0.062,0.052000000000000005,0.058,0.026,0.054000000000000006
0.64,0.92,0.04,0.96,0.92,0.058,0.022,0.056,0.06,0.038
0.2,0.76,0.72,0.9,0.42,0.052000000000000005,0.14400000000000002,0.034,0.012,0.122
0.32,0.22,0.98,0.42,0.22,0.002,0.08800000000000001,0.08199999999999999,0.016,0.07
0.08,0.32,0.58,0.92,0.58,0.104,0.064,0.07,0.012,0.034
0.38,0.86,0.72,0.72,0.02,0.08,0.04,0.06,0.08199999999999999,0.062
0.12,0.68,0.98,0.18,0.02,0.07200000000000001,0.092,0.034,0.08,0.068
0.18,0.2,0.5,0.16,0.02,0.062,0.07,0.068,0.076,0.06
0.1,0.34,0.12,0.2,0.12,0.042,0.05,0.054000000000000006,0.056,0.066
0.16,0.92,0.18,0.1,0.08,0.054000000000000006,0.08,0.034,0.05,0.07400000000000001
0.08,0.92,0.12,0.16,0.02,0.05,0.026,0.04,0.062,0.05
0.44,0.16,0.16,0.02,0.12,0.046,0.048,0.066,0.078,0.08
0.48,0.12,0.16,0.16,0.04,0.058,0.06,0.02,0.08,0.08
0.96,0.12,0.86,0.14,1.1,0.034,0.046,0.058,0.06,0.06
0.74,0.1,1.02,0.1,0.62,0.068,0.094,0.07400000000000001,0.06,0.07200000000000001
0.1,0.16,0.42,0.56,0.14,0.036000000000000004,0.042,0.066,0.098,0.036000000000000004
0.02,0.16,0.04,1.1,0.88,0.096,0.054000000000000006,0.016,0.058,0.038
0.4,0.3,0.62,0.86,0.96,0.066,0.048,0.076,0.046,0.054000000000000006
0.92,0.06,1.06,0.08,0.48,0.026,0.032,0.034,0.038,0.048
0.82,0.14,0.44,0.38,0.16,0.07,0.078,0.054000000000000006,0.038,0.06
0.42,0.32,0.2,1.02,0.82,0.032,0.044,0.05,0.076,0.052000000000000005
0.96,0.14,0.84,0.64,0.88,0.084,0.038,0.064,0.066,0.04
0.56,0.96,1.08,0.02,0.44,0.06,0.056,0.06,0.06,0.058
0.02,1.0,0.34,0.32,0.6,0.046,0.042,0.076,0.08800000000000001,0.058
0.42,0.26,0.66,1.16,1.0,0.06,0.032,0.064,0.052000000000000005,0.018000000000000002
0.94,0.12,0.92,0.6,0.42,0.056,0.022,0.046,0.056,0.038
0.64,1.0,0.42,0.06,0.74,0.07200000000000001,0.048,0.042,0.064,0.026
0.02,0.84,0.6,0.26,0.82,0.05,0.12,0.016,0.066,0.08
0.04,0.04,0.8,0.92,0.46,0.062,0.096,0.1,0.058,0.09
0.46,0.16,0.44,0.84,0.16,0.094,0.056,0.094,0.058,0.05
0.94,0.92,0.06,0.1,0.84,0.1,0.08,0.07400000000000001,0.076,0.086
0.58,0.8,0.06,0.46,0.02,0.046,0.062,0.06,0.086,0.042
0.16,0.06,0.04,0.78,0.04,0.062,0.05,0.07200000000000001,0.054000000000000006,0.056
0.34,0.12,0.22,0.72,0.02,0.058,0.048,0.06,0.048,0.068
0.28,0.76,0.3,0.16,0.14,0.054000000000000006,0.07400000000000001,0.066,0.104,0.06
0.26,0.66,0.02,0.12,1.06,0.07400000000000001,0.05,0.078,0.07,0.054000000000000006
0.3,0.18,0.18,0.08,0.36,0.03,0.04,0.086,0.068,0.066
0.24,0.18,0.26,0.02,0.1,0.104,0.038,0.038,0.07400000000000001,0.056
0.18,0.86,0.92,0.06,0.8,0.064,0.056,0.024,0.052000000000000005,0.058
0.56,0.86,0.96,0.2,0.8,0.066,0.086,0.038,0.038,0.034
0.9,0.06,0.56,0.92,0.3,0.036000000000000004,0.06,0.07,0.052000000000000005,0.078
1.0,0.1,0.66,0.98,0.02,0.03,0.036000000000000004,0.062,0.06,0.08800000000000001
0.06,0.06,0.86,0.16,0.72,0.044,0.078,0.014,0.06,0.052000000000000005
0.62,0.1,0.38,0.16,0.92,0.032,0.042,0.034,0.062,0.042
0.9,0.08,0.56,0.82,0.16,0.06,0.09,0.062,0.026,0.028
0.74,0.16,0.92,0.74,0.08,0.034,0.018000000000000002,0.066,0.05,0.034
0.46,0.42,0.34,0.12,0.84,0.034,0.03,0.04,0.062,0.026
0.88,0.28,0.88,0.12,0.94,0.058,0.044,0.07200000000000001,0.05,0.044
0.46,0.88,0.8,0.94,0.32,0.034,0.046,0.064,0.052000000000000005,0.038
0.54,0.86,0.4,0.7,0.76,0.04,0.104,0.022,0.08,0.04
0.94,0.02,0.04,0.1,0.8,0.044,0.03,0.076,0.052000000000000005,0.058
0.52,0.22,0.52,0.2,0.12,0.07,0.042,0.042,0.054000000000000006,0.016
0.72,0.88,0.88,0.92,0.12,0.06,0.07400000000000001,0.08,0.03,0.08
0.9,0.82,0.22,0.84,0.6,0.07400000000000001,0.084,0.128,0.028,0.078
0.48,0.16,0.1,0.22,0.06,0.08800000000000001,0.078,0.038,0.046,0.07200000000000001
0.14,0.32,0.04,0.16,0.26,0.11,0.08,0.034,0.01,0.05
0.12,0.82,0.28,0.64,0.18,0.05,0.046,0.06,0.104,0.054000000000000006
0.16,0.58,0.24,0.94,0.12,0.07400000000000001,0.042,0.078,0.062,0.038
0.24,0.24,0.06,0.22,0.98,0.048,0.05,0.09,0.046,0.048
0.2,0.26,0.18,0.04,0.26,0.046,0.042,0.084,0.06,0.04
0.18,0.92,0.3,0.06,0.2,0.05,0.068,0.062,0.054000000000000006,0.046
0.08,0.7,0.72,0.08,0.96,0.048,0.06,0.07200000000000001,0.058,0.052000000000000005
0.58,0.12,1.06,0.06,0.92,0.05,0.064,0.038,0.05,0.058
0.92,0.26,0.46,0.16,0.14,0.052000000000000005,0.046,0.06,0.06,0.07400000000000001
0.6,0.82,0.16,0.02,0.24,0.052000000000000005,0.064,0.07,0.062,0.038
