Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.92,1.0,1.0,0.8,1.04,2.68,2.76,2.72,2.84,2.68
1.08,1.08,1.08,1.04,1.08,2.56,2.64,2.6,2.6,2.6
1.08,1.12,1.08,1.08,1.08,2.52,2.56,2.56,2.56,2.56
1.08,1.12,1.12,1.08,1.08,2.48,2.52,2.52,2.52,2.48
1.08,1.12,1.08,1.08,1.08,2.52,2.52,2.52,2.48,2.48
1.08,1.12,1.12,1.08,1.08,2.48,2.52,2.48,2.48,2.48
1.08,1.12,1.12,1.12,1.08,2.48,2.48,2.48,2.48,2.48
1.12,1.12,1.12,1.12,1.08,2.48,2.48,2.48,2.48,2.48
1.08,1.12,1.12,1.08,1.08,2.4,2.48,2.48,2.48,2.48
1.12,1.12,1.12,1.12,1.12,2.44,2.48,2.48,2.48,2.44
1.08,1.08,1.12,1.12,1.08,2.44,2.48,2.48,2.44,2.48
1.08,1.12,1.12,1.12,1.12,2.4,2.48,2.48,2.44,2.44
1.08,1.12,1.08,1.12,1.08,2.44,2.44,2.44,2.44,2.44
1.12,1.12,1.12,1.12,1.08,2.4,2.44,2.44,2.44,2.4
1.12,1.12,1.12,1.12,1.12,2.4,2.44,2.44,2.44,2.44
1.12,1.12,1.12,1.12,1.12,2.4,2.4,2.44,2.44,2.44
1.08,1.12,1.08,1.12,1.08,2.4,2.44,2.4,2.44,2.44
1.12,1.12,1.12,1.12,1.08,2.4,2.4,2.4,2.44,2.44
1.12,1.12,1.12,1.08,1.12,2.4,2.44,2.44,2.4,2.4
1.08,1.12,1.12,1.08,1.12,2.4,2.44,2.4,2.4,2.4
1.08,1.12,1.12,1.08,1.08,2.4,2.4,2.4,2.44,2.4
1.12,1.12,1.12,1.08,1.12,2.4,2.44,2.4,2.4,2.36
1.12,1.12,1.12,1.12,1.12,2.4,2.4,2.4,2.4,2.4
1.12,1.12,1.12,1.12,1.08,2.36,2.4,2.4,2.4,2.4
1.12,1.12,1.08,1.12,1.08,2.4,2.4,2.4,2.4,2.4
0.96,1.0,1.0,0.88,1.04,2.68,2.76,2.72,2.84,2.68
1.08,1.08,1.08,1.08,1.08,2.56,2.6,2.6,2.64,2.6
1.08,1.12,1.12,1.08,1.08,2.48,2.56,2.56,2.56,2.52
1.12,1.12,1.12,1.12,1.08,2.48,2.52,2.52,2.52,2.48
1.08,1.08,1.12,1.12,1.08,2.48,2.52,2.52,2.48,2.48
1.12,1.12,1.08,1.12,1.08,2.48,2.48,2.48,2.48,2.48
1.08,1.12,1.12,1.12,1.08,2.48,2.48,2.48,2.48,2.48
1.12,1.12,1.12,1.12,1.08,2.48,2.48,2.48,2.48,2.48
1.08,1.12,1.12,1.12,1.08,2.48,2.48,2.48,2.48,2.44
1.12,1.12,1.08,1.12,1.12,2.48,2.48,2.48,2.48,2.44
1.12,1.12,1.12,1.08,1.12,2.44,2.44,2.48,2.44,2.44
1.08,1.12,1.12,1.12,1.08,2.4,2.48,2.48,2.44,2.44
1.12,1.12,1.08,1.12,1.12,2.44,2.44,2.44,2.44,2.44
1.08,1.12,1.12,1.12,1.12,2.4,2.44,2.44,2.44,2.4
1.12,1.12,1.12,1.12,1.08,2.44,2.44,2.44,2.44,2.4
1.12,1.12,1.12,1.12,1.12,2.4,2.44,2.44,2.44,2.4
1.12,1.12,1.08,1.12,1.08,2.4,2.44,2.44,2.44,2.4
1.12,1.12,1.12,1.12,1.08,2.4,2.44,2.44,2.44,2.4
1.12,1.12,1.12,1.12,1.08,2.4,2.44,2.4,2.4,2.4
1.12,1.12,1.12,1.12,1.12,2.4,2.4,2.4,2.4,2.36
1.12,1.12,1.12,1.12,1.08,2.4,2.4,2.44,2.4,2.36
1.12,1.12,1.12,1.12,1.08,2.4,2.4,2.44,2.4,2.4
1.08,1.12,1.12,1.12,1.08,2.4,2.4,2.4,2.4,2.36
1.12,1.12,1.12,1.08,1.12,2.4,2.4,2.4,2.4,2.36
1.12,1.12,1.08,1.08,1.08,2.36,2.4,2.4,2.4,2.4
0.96,1.0,1.0,0.88,1.0,2.68,2.72,2.76,2.8,2.68
1.08,1.08,1.08,1.08,1.08,2.6,2.6,2.6,2.6,2.56
1.08,1.12,1.08,1.08,1.08,2.52,2.56,2.56,2.56,2.52
1.12,1.08,1.12,1.08,1.08,2.48,2.56,2.56,2.52,2.48
1.08,1.12,1.12,1.08,1.08,2.48,2.48,2.48,2.52,2.48
1.12,1.12,1.12,1.08,1.12,2.48,2.48,2.52,2.48,2.48
1.12,1.12,1.12,1.12,1.12,2.48,2.48,2.48,2.48,2.48
1.12,1.12,1.08,1.12,1.08,2.48,2.48,2.48,2.48,2.48
1.08,1.12,1.12,1.08,1.08,2.44,2.48,2.48,2.48,2.44
1.12,1.12,1.12,1.12,1.08,2.44,2.48,2.48,2.48,2.44
1.12,1.12,1.12,1.08,1.08,2.44,2.48,2.48,2.48,2.44
1.12,1.12,1.12,1.12,1.08,2.44,2.48,2.48,2.48,2.44
1.12,1.12,1.12,1.08,1.12,2.44,2.44,2.44,2.44,2.44
